,Serie,Titulo,Temporada,Número,Clasificacion,Sinopsis,Genero
0,The Great,The Great: La Grande,Temporada 1,1,SAM16,"Catalina viaja a Rusia a casarse con el emperador. Tras volverse emperatriz, ve que Pedro es un malcriado egoísta. Se siente desesperada hasta que su sirviente, Marial, sugiere derrocarlo.","Comedia, Drama"
1,The Great,The Great: Una Barba Falsa,Temporada 1,2,SAM16,"Catalina da el primer paso hacia un golpe. Siguiendo el consejo de Marial, trata de seducir y reclutar al conde Orlo, un intelectual del palacio. Es un desastre, pero termina convencido.","Comedia, Drama"
2,The Great,"The Great: Y usted, señor, no es ningún Pedro El Grande",Temporada 1,3,SAM16,"Catalina, Orlo y Marial continúan planeando su golpe. Al notar la desdicha de Catalina, Pedro le regala un amante estéril, Leo. Al principio ella duda, pero Leo logra seducirla.","Comedia, Drama"
3,The Great,The Great: La Mula de Moscú,Temporada 1,4,SAM16,Catalina trata de manejar su reputación en la corte y su relación con Leo. Un influyente patriarca de la iglesia muere. Orlo trata de influenciar la elección de Pedro para reemplazarlo.,"Comedia, Drama"
4,The Great,The Great: Guerra y Vómito,Temporada 1,5,SAM16,"Mientras la guerra contra Suecia continúa, Catalina y la tía Elizabeth visitan al ejército en el frente ruso. Grigor tiene problemas con la relación de Pedro y Georgina y envenena a Pedro.","Comedia, Drama"
5,The Great,The Great: Paracaídas,Temporada 1,6,SAM16,"Tras casi morir, Pedro está abierto a las ideas progresistas de Catalina y quiere enfocarse en un heredero. Orlo intenta averiguar quién envenenó a Pedro y enfrenta sus propios demonios.","Comedia, Drama"
6,The Great,The Great: Viruela en la esperanza,Temporada 1,7,SAM16,"Catalina se siente optimista, hasta que un brote de viruela hace que Pedro vuelva a sus viejas costumbres. Mientras tanto, la relación de Leo y Catalina sufre y Georgina extraña a Pedro.","Comedia, Drama"
7,The Great,The Great: Albóndigas en la dacha,Temporada 1,8,SAM16,Las habilidades políticas de Catalina son puestas a prueba cuando se le da la oportunidad de viajar al extranjero. Leo quiere dejar la corte. Marial le cuenta del golpe para que se quede.,"Comedia, Drama"
8,The Great,The Great: El amor duele,Temporada 1,9,SAM16,Descubren un cuerpo. Pedro decide torturar a todo el palacio para hallar a los traidores asesinos. Marial le confiesa a Archie los planes de Catalina. Catalina descubre que está embarazada.,"Comedia, Drama"
9,The Great,The Great: La nariz del castor,Temporada 1,10,SAM16,"Catalina avanza con el golpe. Marial la traiciona al contarle a Pedro que está embarazada. Catalina se da cuenta de que la única forma de lograr una mejor Rusia es luchar, sin Leo.","Comedia, Drama"
10,The Great,The Great: Tráiler oficial,Temporada 1,11,SAM16,"Comedia dramática y satírica que trata del ascenso al poder de Catalina la Grande y de cómo, con sus ardides, logra quitarle a su esposo la corona y el país. Estreno: 18 de junio. Solo por STARZPLAY. Doblaje disponible próximamente.","Comedia, Drama"
11,The Great,The Great: Usa la cabeza,Temporada 2,1,SAM16,"4 meses después de que lanzara un golpe contra su marido, una Catherine embarazada se impone en su guerra contra Peter.","Comedia, Drama"
12,The Great,The Great: Idiota,Temporada 2,2,SAM16,"Catalina, Orlo y Velementov comienzan a gobernar Rusia y aparecen obstáculos inesperados.","Comedia, Drama"
13,The Great,The Great: Solos al fin,Temporada 2,3,SAM16,El dolor de Catherine por la pérdida de Leo durante el golpe de estado finalmente la alcanza.,"Comedia, Drama"
14,The Great,The Great: El almuerzo del diablo,Temporada 2,4,SAM16,El embajador otomano visita a Catherine mientras las tensiones entre las regiones se disparan.,"Comedia, Drama"
15,The Great,The Great: Instintos animales,Temporada 2,5,SAM16,"Un cocodrilo merodea por la corte, y Archie provoca el alboroto de todos al sugerir que podría ser un presagio contra el liderazgo de Catherine.","Comedia, Drama"
16,The Great,The Great: Una broma inocente,Temporada 2,6,SAM16,"Catherine se frustra por la falta de cambios en su gobierno de Rusia. Para sacudir a la corte de su complacencia, les gasta una broma con un sirviente para demostrar su punto de vista.","Comedia, Drama"
17,The Great,The Great: La engrapadora,Temporada 2,7,SAM16,El equipo de Catherine se desmorona y empieza a dudar de su reinado cuando su madre viene de visita.,"Comedia, Drama"
18,The Great,The Great: Siete días,Temporada 2,8,SAM16,Elizabeth pronuncia que el bebé de Catherine nacerá en 5 días y la corte comienza los preparativos que implican rituales para Peter y Catherine.,"Comedia, Drama"
19,The Great,The Great: Tráiler de la temporada 2,Temporada 2,9,SAM16,"Prepárate para The Great temporada 2. Estreno de la temporada, el 19 de diciembre","Comedia, Drama"
20,The Act,The Act: La Maison du Bon Reve,Temporada 1,1,SAM16,"La atenta madre Dee Dee Blanchard y su dulce hija Gypsy llegan a una nueva ciudad, donde Gypsy se siente sola por una gran cantidad de problemas médicos y está deseando hacer amigos. Pero sus nuevos vecinos son algo entrometidos y Dee Dee y Gypsy tienen secretos que ocultar.","Docudrama, Drama"
21,The Act,The Act: Los dientes,Temporada 1,2,SAM16,"Dee Dee está supercontenta, ya que van a concederle a Gypsy el premio a la ""Mejor Niña del Año"", lo cual hace que Dee De se sienta como la Mamá del Año. Pero antes del evento, Gypsy tiene un problema dental que llama la atención de un doctor escéptico que podría desvelar las mentiras de Dee Dee.","Docudrama, Drama"
22,The Act,The Act: Dos Wolverines,Temporada 1,3,SAM16,"Dee Dee obliga a Gypsy a disfrazarse para un evento de disfraces, en el que las dos captan la atención de unos encantadores hombres que podrían poner en riesgo el aislamiento de su relación. Gypsy comienza a cuestionar las mentiras que su mamá le cuenta, sobre todo sobre su edad.","Docudrama, Drama"
23,The Act,The Act: Quédate dentro,Temporada 1,4,SAM16,"Gypsy se hace mayor y Dee De ese ve obligada a recurrir a nuevas estratagemas legales para mantener el control sobre su ""niña pequeña"". Pero Dee Dee está limitada por sus propios problemas de salud y Gypsy hace lo imposible por conectar con hombres y experimentar un despertar sexual.","Docudrama, Drama"
24,The Act,The Act: Plan B,Temporada 1,5,SAM16,"Gypsy y Nick planean verse en persona y esperan ganarse la aceptación de Dee Dee, pero cuando su plan sale horriblemente mal, se verán obligados a tomar una decisión radical para estar juntos.","Docudrama, Drama"
25,The Act,The Act: Un mundo ideal,Temporada 1,6,SAM16,"Mientras que Gypsy y Nick están desaparecidos, unos flashbacks de una Dee Dee muy joven revelan que el trauma con su propia madre dio lugar a sus problemas con Gypsy.","Docudrama, Drama"
26,The Act,The Act: Bonnie y Clyde,Temporada 1,7,SAM16,"Gypsy está emocionada por empezar de cero con Nick en Wisconsin, pero su nueva vida no se corresponde con el final feliz que había imaginado y su ansiedad empeora cuando las transgresiones pasadas empiezan a acecharles.","Docudrama, Drama"
27,The Act,The Act: Libre,Temporada 1,8,SAM16,"Gypsy lucha por su vida defendiendo sus acciones, mientras que Mel y Lacey se dan cuenta de que tras puertas cerradas las cosas no son siempre lo que parecen.","Docudrama, Drama"
28,Power Book IV: Force,Power Book IV: Force: De mecha corta y memoria larga,Temporada 1,1,SAM16,"En su viaje hacia el Oeste, Tommy hace una parada en Chicago para depositar flores en la tumba de un fallecido ser querido, pero se entera de noticias impactantes sobre su familia. Sumido en la confusión, Tommy debe decidir si va a obligar a sus esqueletos a regresar al armario o echar raíces en la Ciudad de los Vientos.","Crimen, Drama"
29,Power Book IV: Force,Power Book IV: Force: S1 Tráiler,Temporada 1,2,SAM16,Prepárate para Power Book IV: Force. Estreno de la serie el 6 de febrero.,"Crimen, Drama"
30,The Borgias,The Borgias: El caliz envenenado,Temporada 1,1,SAM16,"En el estreno de la temporada uno, Rodrigo soborna e intimida para que lo elijan como el papa Alejandro VI, convirtiéndolo en el nuevo líder de la Iglesia católica.",Drama
31,The Borgias,The Borgias: El asesino,Temporada 1,2,SAM16,El nuevo papa no pierde tiempo y consolida el poder y equilibra la oposición a él en el Colegio Cardenalicio elevando a sus hijos a un alto cargo.,Drama
32,The Borgias,The Borgias: El moro,Temporada 1,3,SAM16,Rodrigo busca fondos con un matrimonio provechoso para Lucrezia que lo aliará con Milán. Micheletto recibe la orden de librar a sus clientes de la amenaza constante de Della Rovere.,Drama
33,The Borgias,The Borgias: La boda de Lucrezia,Temporada 1,4,SAM16,"La boda de Lucrezia con el noble milanés Giovanni Sforza, por motivos económicos y políticos, es un desastre gracias a la inapropiada obra de teatro de Juan en honor a su hermana, el descarado coqueteo de Cesare con una baronesa casada y la llegada de la madre ilegítima de los niños Borgia.",Drama
34,The Borgias,The Borgias: Los Borgia enamorados,Temporada 1,5,SAM16,"Abandonada y abusada por su cruel marido, Lucrezia tiene una aventura con Paolo, un guapo chico del establo. Cesare hace un trato con Maquiavelo.",Drama
35,The Borgias,The Borgias: El rey francés,Temporada 1,6,SAM16,Della Rovere llega a Francia y hace un trato con su gobernante para invadir Italia e instalarlo en el trono papal a cambio del control de Nápoles. Rodrigo intenta frenar la invasión a través de una alianza.,Drama
36,The Borgias,The Borgias: Muerte en un caballo bayo,Temporada 1,7,SAM16,"La invasión del rey Carlos de Francia y Della Rovere procede y la victoria parece inevitable, mientras los franceses saquean la ciudad de Lucca y las potencias italianas se unen bajo su estandarte.",Drama
37,The Borgias,The Borgias: El arte de la guerra,Temporada 1,8,SAM16,"Los invasores capturan a una Lucrezia embarazada que huye mientras marchan hacia Roma, pero ella seduce al rey Carlos y se le permite persuadir a su hermano Juan de que retire sus tropas defensivas, desesperadamente superadas.",Drama
38,The Borgias,The Borgias: Nessuno (Nadie),Temporada 1,9,SAM16,"Abandonado hasta por sus cardenales, Alejandro se reúne con el rey Carlos con humildad y salva su trono. Della Rovere se desespera cuando Carlos lo abandona. Lucrezia da a luz a un hijo en un convento mientras los Borgia logran la anulación de su matrimonio y traman la venganza contra sus enemigos.",Drama
39,The Borgias,The Borgias: El toro Borgia,Temporada 2,1,SAM16,El papa toma una nueva amante y organiza una gran celebración.,Drama
40,The Borgias,The Borgias: Paolo,Temporada 2,2,SAM16,El padre del hijo de Lucrezia sufre un terrible destino a manos de Juan.,Drama
41,The Borgias,The Borgias: El hermoso engaño,Temporada 2,3,SAM16,Lucrezia hace huelga de hambre; no habrá entierro católico para su amante.,Drama
42,The Borgias,The Borgias: Perros callejeros,Temporada 2,4,SAM16,Cesare recluta una banda de mercenarios. El papa forja alianzas estratégicas.,Drama
43,The Borgias,The Borgias: La decisión,Temporada 2,5,SAM16,Cesare lidia con los Sforza. Alejandro viaja para escuchar a Savonarola.,Drama
44,The Borgias,The Borgias: Día de cenizas,Temporada 2,6,SAM16,Alejandro ayuna luego del rayo en la Basílica. Cesare demuestra su valor.,Drama
45,The Borgias,The Borgias: El sitio de Forli,Temporada 2,7,SAM16,El triunfo de Juan es efímero. Lucrezia desbarata un plan para casarla.,Drama
46,The Borgias,The Borgias: Verdad y mentiras,Temporada 2,8,SAM16,Juan alardea de su valentía. Lucrezia ve que las mejoras no comenzaron.,Drama
47,The Borgias,The Borgias: Mundo de maravillas,Temporada 2,9,SAM16,Antonello es el nuevo catador. Cesare desafía a Savonarola a una prueba.,Drama
48,The Borgias,The Borgias: La confesión,Temporada 2,10,SAM16,Cesare logra que quemen a Savonarola. Hay un nuevo candidato para Lucrezia.,Drama
49,The Borgias,The Borgias: El rostro de la muerte,Temporada 3,1,SAM16,"Cuando el papa Alejandro (Jeremy Irons) lucha por su vida luego de ser envenenado, los cardenales se disputan quién asumirá el Pontificado.",Drama
50,The Borgias,The Borgias: La purga,Temporada 3,2,SAM16,"Ya recuperado, Alejando encomienda al cardenal Sforza que instigue una “inquisición” entre los cardenales que politiquearon en su contra cuando su vida pendía de un hilo.",Drama
51,The Borgias,The Borgias: Hermanos,Temporada 3,3,SAM16,"Cuando los cardenales expulsados son destituidos y se les quitan los títulos y riquezas, uno de ellos – el cardenal Versucci (Vernon Dobtcheff) le prende fuego a la tesorería del Vaticano luego de robar una gran suma.",Drama
52,The Borgias,The Borgias: El banquete de las castañas,Temporada 3,4,SAM16,Al nuevo nombrado cardenal Farnesio (Cyrin Melville) – promovido a pedido de su hermana Julia (Lotte Verbeek) – lo colocan en la tesorería y pronto descubre el robo de Versucci.,Drama
53,The Borgias,The Borgias: El lobo y el cordero,Temporada 3,5,SAM16,"La misión diplomática de César (Francois Arnaud) a Francia es todo un éxito: Maquiavelo lo guía a través de las complejidades de la corte francesa, y César convierte en aliado al arzobispo d’Amboise.",Drama
54,The Borgias,The Borgias: Las reliquias,Temporada 3,6,SAM16,"Cuando César llega al norte de Italia con el ejército francés, Alejandro está furioso con lo que ve como un desafío a su autoridad, pero de mala gana accede al plan de César para destruir a la dinastía Sforza, empezando con Ludovico, duque de Milán.",Drama
55,The Borgias,The Borgias: La apuesta de Lucrecia,Temporada 3,7,SAM16,César incendia el palacio de Constanzo – con el cardenal dentro – para contener la plaga mientras que Micheletto está cegado de amor por el joven y hermoso Pascal.,Drama
56,The Borgias,The Borgias: Lágrimas de sangre,Temporada 3,8,SAM16,"Los peregrinos llegan en masa a Roma para los festejos del jubileo, y la lanza de Longino es el eje del espectáculo. Sin embargo, Catalina ideó un plan para frustrar el lucrativo festival de Alejandro.",Drama
57,The Borgias,The Borgias: El complot de la pólvora,Temporada 3,9,SAM16,"Desolado por la traición de Pascal, Micheletto lo asesina y desaparece. Desolado por la pérdida de su leal teniente, César va a Nápoles a rescatar a Lucrecia, pero ella ya se escapó de sus captores.",Drama
58,The Borgias,The Borgias: El príncipe,Temporada 3,10,SAM16,"Al fin, Alejandro y César se reconcilian, y el papa revela que los ejércitos papales se han reforzado y reequipado con el dinero ahorrado de la Cruzada y lo recaudado del jubileo.",Drama
59,The Spanish Princess,The Spanish Princess: El Nuevo Mundo,Temporada 1,1,SAM16,"Catalina de Aragón llega a Inglaterra para casarse con el Príncipe Arturo, heredero del trono inglés, en un contrato matrimonial creado para forjar una alianza entre las dos naciones.","Drama, Literaria"
60,The Spanish Princess,The Spanish Princess: Sueño Febril,Temporada 1,2,SAM16,"Catalina está un paso más cerca del trono inglés después de su casamiento con Arturo, pero debe navegar los desafíos de una nueva relación y una nueva Corte.","Drama, Literaria"
61,The Spanish Princess,The Spanish Princess: Un Plan Audaz,Temporada 1,3,SAM16,Catalina está decidida a ser la futura Reina de Inglaterra y hace planes para casarse con el Príncipe Enrique. La reina Isabel tiene una premonición preocupante después de un trabajo de parto con complicaciones.,"Drama, Literaria"
62,The Spanish Princess,The Spanish Princess: La Batalla por Enrique,Temporada 1,4,SAM16,"Mientras la nación llora por la muerte de la Reina Isabel, y Catalina trabaja para asegurar su matrimonio con Enrique, el Rey Enrique VII sorprende a la familia anunciando su intención de honrar la última voluntad de su esposa.","Drama, Literaria"
63,The Spanish Princess,The Spanish Princess: El Corazón se Enfrenta al Deber,Temporada 1,5,SAM16,"Catalina se enfrenta a un dilema: casarse con el Rey Enrique VII y convertirse de inmediato en la Reina de Inglaterra, o hallar el modo de rechazarlo y esperar a Enrique.","Drama, Literaria"
64,The Spanish Princess,The Spanish Princess: Un Secuestro Cortés,Temporada 1,6,SAM16,"El trono inglés parece estar al alcance de las manos de Catalina, pero un desafortunado giro del destino hace que su futuro ahora esté en manos de su inestable hermana mayor.","Drama, Literaria"
65,The Spanish Princess,The Spanish Princess: Todo Está Perdido,Temporada 1,7,SAM16,"Todo el país sufre. Catalina apenas es reconocida como la Princesa Española y Maggie está desahuciada, pero Catalina está decidida a no abandonar su destino.","Drama, Literaria"
66,The Spanish Princess,The Spanish Princess: Destino,Temporada 1,8,SAM16,El destino de Inglaterra pende de un hilo cuando la familia Tudor es sacudida por la tragedia. Catalina arriesga todo para averiguar si Enrique aún la ama.,"Drama, Literaria"
67,The Spanish Princess,The Spanish Princess: Camelot,Temporada 2,1,SAM16,"Con una poderosa alianza con España y un heredero durmiendo en su cuna, ¿qué podría salir mal para la glamorosa pareja real de Catalina y Enrique?","Drama, Literaria"
68,The Spanish Princess,The Spanish Princess: Flodden,Temporada 2,2,SAM16,"Enrique invade Francia, dejando a una embarazada Catalina para defender a Inglaterra del rey escocés James IV. Que la batalla de Flodden comienze…","Drama, Secuela"
69,The Spanish Princess,The Spanish Princess: Duelo,Temporada 2,3,SAM16,"Mientras Catalina lucha por restaurar su matrimonio después de otra tragedia, Meg debe encontrar la manera de mantener Escocia a flote después de la sangrienta batalla de Flodden.","Drama, Literaria"
70,The Spanish Princess,The Spanish Princess: La Otra Mujer,Temporada 2,4,SAM16,"Mientras Meg pone en peligro todo por amor, una embarazada Catalina lucha con la repugnante sospecha de que Enrique le está siendo infiel.","Drama, Literaria"
71,The Spanish Princess,The Spanish Princess: Plaga,Temporada 2,5,SAM16,"Cuando la plaga golpea Londres, la corte huye a Hampton Court, pero Maggie y Thomas More permanecen en el palacio vacío y sorprendentemente romántico.","Drama, Literaria"
